,negative,neutral,positive,helpfulness,burst,count
A21O5ULBAZD8SZ,0,0,1,5,0.2352941176,21
A2U1WQYFE8E63W,0,0,1,0,4,5
A29C6EN5ADR5PD,0.4,0,0.6,1.6666666667,0,5
ADSQBJ07R4B9B,0.2,0,0.8,0,0.25,5
A3KFXTFDSLOL79,0.2,0,0.8,0,1.5,5
A24QA99TB8OTA7,0,0.2,0.8,0,1,10
A38Z4B8AU37IMR,0.3333333333,0,0.6666666667,1,0.5,6
A7P7OP5UW6APV,0,0.1666666667,0.8333333333,1.2857142857,0.5,6
A1DE5SY7SITVIU,0.4285714286,0,0.5714285714,2.380952381,0.4,7
AGJCRK8QR0UO0,0,0.2,0.8,0,0.25,5
ADO9A0TYX5GDU,0,0.2,0.8,1,4,5
A317QVSSNIOPMU,0,0.2,0.8,3,0,5
AFM7FK7NFEKFZ,0,0,1,4.7174603175,0,8
A287DMSRR6HRFL,0.4,0.6,0,1,1.5,5
A1CVGV0RJHIG3H,0.3333333333,0.1666666667,0.5,0,0.5,6
A1088U89A8HWJX,0,0.6,0.4,2,0.6666666667,5
A11NCQN1Q2IWT4,0.2,0,0.8,1,0.25,5
A3BKEZ129G9JE9,0.2,0.2,0.6,0,0.25,10
A2OY0RKXHQVD3E,0,0.1428571429,0.8571428571,2,0.4,7
A1TKVMFVM1W2EB,0,0.0909090909,0.9090909091,1,1.75,11
A7OCUC9MX712N,0.1666666667,0,0.8333333333,1,0.2,6
A1DWVA2JDP7HTH,0,0.1111111111,0.8888888889,1,1.25,9
A3Q35M74RGSHIX,0,0,1,1,0.25,5
A2TCNHWJ1LFRV1,0.1111111111,0,0.8888888889,1,0.8,9
ABRJZC4Y3AXPH,0,0,1,0,0.5,6
A2BK0JAPQGP4Z8,0,0.2,0.8,0,0.25,5
A14XSWMARN5QAK,0.375,0,0.625,1,3,8
A12A68NIAN9KHK,0.1666666667,0.1666666667,0.6666666667,2.3059442725,0.2,6
A2DIGXOS9CRPBE,0.2,0,0.8,1,0.6666666667,5
AE87202VG3JDI,0,0.2,0.8,2.976635514,0.25,5
A3K90CWQWKQGL1,0.2,0.2,0.6,1,0.6666666667,5
A1KE06KXZCYVWG,0.3846153846,0,0.6153846154,4.2777777778,0.1818181818,13
A2CC9Q3V0KAW63,0,0.1666666667,0.8333333333,0.5,1,6
A3NWDVRYFBV72W,0,0,1,2,0,5
A8D7VZOUGOSUV,0.6666666667,0.1666666667,0.1666666667,0.5,1,6
A2RJBMIFFUGUYN,0,0,1,1,0.6666666667,5
